Symbol,Name,Industry,Market Cap
CNSP,CNS Pharmaceuticals,Pharmaceuticals,13651081
CNTA,Centessa Pharmaceuticals,Biotechnology,806411064
CNTB,Connect Biopharma Holdings,Biotechnology,173599871
CNTG,Centogene,Biotechnology,113988701
CNTQ,Chardan NexTech Acquisition 2,Blank Check / SPAC,159231864
CNTX,Context Therapeutics,Pharmaceuticals,34646439
CNTY,Century Casinos,"Hotels, Restaurants & Leisure",354016348
CNVY,Convey Holding Parent,Health Information Services,478690074
CNX,CNX Resources,"Oil, Gas & Consumable Fuels",4111842290
CNXC,Concentrix,IT Services,8605155173
CNXN,PC Connection,"Electronic Equipment, Instruments & C...",1375766639
CO,Global Cord Blood,Health Care Providers & Services,467971326
COCO,The Vita Coco Company,Beverages-Non-Alcoholic,497803255
COCP,Cocrystal Pharma,Pharmaceuticals,53607951
CODA,Coda Octopus Group,"Electronic Equipment, Instruments & C...",71331804
CODI,Compass Diversified Holdings,Diversified Financial Services,1688337913
CODX,Co-Diagnostics,Health Care Equipment & Supplies,209905547
COE,China Online Education Group,Diversified Consumer Services,37632523
COF,Capital One Financial,Consumer Finance,53260414956
COFS,ChoiceOne Financial Services,Banks,188351436
COGT,Cogent Biosciences,Biotechnology,343144605
COHN,Cohen & Company,Capital Markets,27747944
COHR,Coherent,"Electronic Equipment, Instruments & C...",6771919123
COHU,"Cohu, Inc.",Semiconductors & Semiconductor Equipment,1437494400
COIN,Coinbase Global,Software-Application,49724334000
COKE,Coca-Cola Consolidated,Beverages,4657317876
COLB,Columbia Banking System,Banks,2539849203
COLD,Americold Realty Trust,Equity Real Estate Investment Trusts ...,7490714090
COLI,Colicity,Blank Check / SPAC,421331259
COLL,Collegium Pharmaceutical,Pharmaceuticals,679572028
COLM,Columbia Sportswear Company,"Textiles, Apparel & Luxury Goods",5840379814
COMM,CommScope Holding Company,Communications Equipment,1629694335
COMP,Compass,Software-Application,3216846590
COMS,ComSovereign Holding,Telecom Services,67144975
CONN,Conn's,Specialty Retail,363831641
CONX,CONX Corp.,Blank Check / SPAC,1108420470
COO,The Cooper Companies,Health Care Equipment & Supplies,20587855561
COOK,Traeger,"Furnishings, Fixtures & Appliances",878500349
COOL,Corner Growth Acquisition,Blank Check / SPAC,491000000
COOP,Mr. Cooper Group,Thrifts & Mortgage Finance,3369390566
COP,ConocoPhillips,"Oil, Gas & Consumable Fuels",1.29605E+11
CORR,CorEnergy Infrastructure Trust,Equity Real Estate Investment Trusts ...,50127570
CORS,Corsair Partnering,Blank Check / SPAC,288822079
CORT,Corcept Therapeutics,Pharmaceuticals,2386264307
CORZ,Core Scientific,Software-Infrastructure,2611214334
COSM,Cosmos Holdings,Health Care Providers & Services,37545230
COST,Costco Wholesale,Food & Staples Retailing,2.55231E+11
COTY,Coty Inc.,Personal Products,7540613626
COUP,Coupa Software,Software,7628957173
COUR,Coursera,Education & Training Services,3301655040
COVA,COVA Acquisition,Blank Check / SPAC,367500000
COWN,Cowen,Capital Markets,744128060
CP,Canadian Pacific Railway,Road & Rail,76739338235
CPA,Copa Holdings,Airlines,3507292848
CPAA,Conyers Park III Acquisition,Blank Check / SPAC,435093759
CPAC,Cementos Pacasmayo,Construction Materials,582225533
CPAQ,Counter Press Acquisition,Blank Check / SPAC,98859600
CPAR,Catalyst Partners Acquisition,Blank Check / SPAC,434624475
CPB,Campbell Soup Company,Food Products,13446946789
CPE,Callon Petroleum Company,"Oil, Gas & Consumable Fuels",3633053644
CPF,Central Pacific Financial,Banks,771033212
CPG,Crescent Point Energy,"Oil, Gas & Consumable Fuels",4167191547
CPHC,Canterbury Park Holding,"Hotels, Restaurants & Leisure",108679051
CPHI,China Pharma Holdings,Pharmaceuticals,18462444
CPIX,Cumberland Pharmaceuticals,Pharmaceuticals,41849643
CPK,Chesapeake Utilities,Gas Utilities,2437924806
CPLP,Capital Product Partners,"Oil, Gas & Consumable Fuels",353565362
CPNG,Coupang,Internet Retail,31040069630
CPOP,Pop Culture Group ,Advertising Agencies,33910500
CPRI,Capri Holdings,"Textiles, Apparel & Luxury Goods",7585935312
CPRT,Copart,Commercial Services & Supplies,29798748088
CPRX,Catalyst Pharmaceuticals,Biotechnology,851756025
CPS,Cooper-Standard Holdings,Auto Components,149038265
CPSH,CPS Technologies,"Electronic Equipment, Instruments & C...",75004717
CPSI,Computer Programs & Systems,Health Care Technology,504520250
CPSS,Consumer Portfolio Services,Consumer Finance,216076784
CPT,Camden Property Trust,Equity Real Estate Investment Trusts ...,17195550600
CPTK,Crown PropTech Acquisitions,Blank Check / SPAC,340860000
CPTN,Cepton,Software-Application,597706240
CPUH,Compute Health Acquisition,Blank Check / SPAC,1054401340
CQP,Cheniere Energy Partners LP,"Oil, Gas & Consumable Fuels",27279763410
CR,Crane Co.,Machinery,6158933916
CRAI,CRA International,Professional Services,623541694
CRBP,Corbus Pharmaceuticals Holdings,Biotechnology,66566651
CRBU,Caribou Biosciences,Biotechnology,556891838
CRC,California Resources,"Oil, Gas & Consumable Fuels",3490867952
CRCT,Cricut,Computer Hardware,2909697533
CRD.A,Crawford & Company,Insurance Brokers,386302399
CRD.B,Crawford & Company,Insurance Brokers,387365085
CRDF,Cardiff Oncology,Biotechnology,107399128
CRDL,Cardiol Therapeutics,Drug Manufacturers-Specialty & Generic,94746015
CRDO,Credo Technology Group Holding,Communication Equipment,2205364722
CREC,Crescera Capital Acquisition,Blank Check / SPAC,265515513
CREG,China Recycling Energy,Commercial Services & Supplies,42298632
CRESY,Cresud SACIF y A.,Real Estate Management & Development,841795583
CREX,Creative Realities,Media,14071611
CRGY,Crescent Energy Company,Oil & Gas E&P,2938974200
CRH,CRH Plc,Construction Materials,31955220479
CRHC,Cohn Robbins Holdings,Shell Companies,1028789950
CRI,Carter's,"Textiles, Apparel & Luxury Goods",3739292127
CRIS,Curis,Biotechnology,218116063
CRK,Comstock Resources,"Oil, Gas & Consumable Fuels",3039645176
CRKN,Crown ElectroKinetics,Specialty Chemicals,26444782
CRL,Charles River Laboratories International,Life Sciences Tools & Services,14336509703
CRM,Salesforce.com,Software,2.10197E+11
CRMD,CorMedix,Pharmaceuticals,212229440
CRMT,America's Car-Mart,Specialty Retail,518778929
CRNC,Cerence,Software,1413914223
CRNT,Ceragon Networks,Communications Equipment,177813678
CRNX,Crinetics Pharmaceuticals,Biotechnology,1048871991
CRON,Cronos Group,Pharmaceuticals,1458567166
CROX,Crocs,"Textiles, Apparel & Luxury Goods",4676161472
CRS,Carpenter Technology,Metals & Mining,2026353526
CRSP,CRISPR Therapeutics AG,Biotechnology,4837533126
CRSR,Corsair Gaming,"Technology Hardware, Storage & Periph...",2014432000
CRT,Cross Timbers Royalty Trust,"Oil, Gas & Consumable Fuels",78660000
CRTD,Creatd,Internet Content & Information,21001990
CRTO,Criteo,Media,1655037051
CRTX,Cortexyme,Biotechnology,186600638
CRU,Crucible Acquisition,Blank Check / SPAC,317292697
CRUS,Cirrus Logic,Semiconductors & Semiconductor Equipment,4856991738
CRVL,CorVel,Health Care Providers & Services,2967997020
CRVS,Corvus Pharmaceuticals,Biotechnology,76347735
CRWD,CrowdStrike Holdings,Software,52402798575
CRWS,Crown Crafts,"Textiles, Apparel & Luxury Goods",65622102
CRXT,Clarus Therapeutics Holdings,Drug Manufacturers-General,35798443
CRZN,Corazon Capital V838 Monoceros,Blank Check / SPAC,248382822
CS,Credit Suisse Group AG,Capital Markets,20760815612
CSBR,Champions Oncology,Life Sciences Tools & Services,109937103
CSCO,Cisco Systems,Communications Equipment,2.31637E+11
CSCW,Color Star Technology Co.,Entertainment,42678864
CSGP,CoStar Group,Professional Services,26310150080
CSGS,CSG Systems International,IT Services,2056387788
CSII,Cardiovascular Systems,Health Care Equipment & Supplies,917085422
CSIQ,Canadian Solar,Semiconductors & Semiconductor Equipment,2121515136
CSL,Carlisle Companies,Industrial Conglomerates,12804538213
CSLM,Consilium Acquisition Corp I,Blank Check / SPAC,212280000
CSPI,CSP Inc.,IT Services,35694902
CSR,Centerspace,"Electronic Equipment, Instruments & C...",1603359296
CSSE,Chicken Soup for the Soul Entertainment,Entertainment,131201385
CSTA,Constellation Acquisition I,Blank Check / SPAC,380137500
CSTE,Caesarstone,Building Products,369927384
CSTL,Castle Biosciences,Biotechnology,1139919471
CSTM,Constellium SE,Metals & Mining,2550185982
CSTR,CapStar Financial Holdings,Banks,468526166
CSV,Carriage Services,Diversified Consumer Services,817372911
CSWC,Capital Southwest,Capital Markets,567756861
CSWI,CSW Industrials,Building Products,1860802837
CSX,CSX Corporation,Road & Rail,81587822572
CTAQ,Carney Technology Acquisition II,Blank Check / SPAC,502906710
CTAS,Cintas,Commercial Services & Supplies,43566743516
CTBI,Community Trust Bancorp,Banks,736824920
CTEK,CynergisTek,Health Care Providers & Services,17759556
CTG,Computer Task Group,IT Services,149898188
CTGO,Contango ORE,Metals & Mining,165270875
CTHR,Charles & Colvard,"Textiles, Apparel & Luxury Goods",48104330
CTIB,Yunhong CTI,Household Durables,7211268
CTIC,CTI BioPharma,Biotechnology,451553503
CTK,CooTek (Cayman),Software,17069689
CTKB,Cytek Biosciences,Medical Devices,1445350006
CTLP,Cantaloupe,Information Technology Services,481244095
CTLT,Catalent,Pharmaceuticals,19865294756
CTMX,CytomX Therapeutics,Biotechnology,174598781
CTO,CTO Realty Growth,Real Estate Management & Development,395836888
CTOS,Custom Truck One Source,Trading Companies & Distributors,2072665725
CTRA,Coterra Energy,"Oil, Gas & Consumable Fuels",21872103414
CTRE,CareTrust REIT,Equity Real Estate Investment Trusts ...,1873014781
CTRM,Castor Maritime,Marine,174082574
CTRN,Citi Trends,Specialty Retail,260163356
CTS,CTS Corporation,"Electronic Equipment, Instruments & C...",1136265851
CTSH,Cognizant Technology Solutions,IT Services,47035052015
CTSO,CytoSorbents,Health Care Equipment & Supplies,138783821
CTT,CatchMark Timber Trust,Equity Real Estate Investment Trusts ...,401971355
CTV,Innovid,Advertising Agencies,795582778
CTVA,Corteva,Chemicals,41774968830
CTXR,Citius Pharmaceuticals,Pharmaceuticals,261393694
CTXS,Citrix Systems,Software,12704621498
CUBE,CubeSmart,Equity Real Estate Investment Trusts ...,12019502069
CUBI,Customers Bancorp,Banks,1717861741
CUE,Cue Biopharma,Biotechnology,161092220
CUEN,Cuentas,Diversified Telecommunication Services,19305751
CUK,Carnival,"Hotels, Restaurants & Leisure",20809531388
CULL,Cullman Bancorp,Banks,87389490
CULP,"Culp, Inc.","Textiles, Apparel & Luxury Goods",97011706
CURI,CuriosityStream,Broadcasting,152763311
CURO,CURO Group Holdings,Consumer Finance,525159418
CURV,Torrid Holdings,Apparel Retail,641493438
CUTR,Cutera,Health Care Equipment & Supplies,1246160631
CUZ,Cousins Properties,Equity Real Estate Investment Trusts ...,5993661914
CVAC,CureVac,Biotechnology,3666128876
CVBF,CVB Financial,Banks,3293962991
CVCO,Cavco Industries,Household Durables,2207050651
CVCY,Central Valley Community Bancorp,Banks,275968980
CVE,Cenovus Energy,"Oil, Gas & Consumable Fuels",33281271801
CVEO,Civeo,Commercial Services & Supplies,333083049
CVET,Covetrus,Health Care Providers & Services,2319303675
CVGI,Commercial Vehicle Group,Machinery,277829240
CVGW,Calavo Growers,Food Products,645164963
CVI,CVR Energy,"Oil, Gas & Consumable Fuels",2567561714
CVII,Churchill Capital VII,Blank Check / SPAC,1688775039
CVLG,Covenant Logistics Group,Road & Rail,362091540
CVLT,Commvault Systems,Software,2956529393
CVLY,Codorus Valley Bancorp,Banks,208588380
CVM,Cel-Sci,Biotechnology,170073501
CVNA,Carvana Co.,Specialty Retail,21185904596
CVR,Chicago Rivet & Machine Co.,Machinery,25532620
CVRX,"CVRx, Inc.",Medical Devices,129992572
CVS,CVS Health,Health Care Providers & Services,1.32839E+11
CVT,Cvent Holding,Software-Application,3459267064
CVU,CPI Aerostructures,Aerospace & Defense,36421290
CVV,CVD Equipment,Semiconductors & Semiconductor Equipment,30188251
CVX,Chevron,"Oil, Gas & Consumable Fuels",3.22281E+11
CW,Curtiss-Wright,Aerospace & Defense,5770979302
CWAN,Clearwater Analytics Holdings,Software-Application,3746862063
CWBC,Community West Bancshares,Banks,121485053
CWBR,CohBar,Biotechnology,27338347
CWCO,Consolidated Water Co.,Water Utilities,168854126
CWEN,Clearway Energy,Independent Power and Renewable Elect...,7135879134
CWEN.A,Clearway Energy,Independent Power and Renewable Elect...,7109754860
CWH,Camping World Holdings,Specialty Retail,1235775737
CWK,Cushman & Wakefield,Real Estate Management & Development,4605479418
CWST,Casella Waste Systems,Commercial Services & Supplies,4506209210
CWT,California Water Service Group,Water Utilities,3184136161
CX,CEMEX,Construction Materials,8002606078
CXAC,C5 Acquisition,Blank Check / SPAC,356144218
CXDO,Crexendo,IT Services,80856072
CXM,Sprinklr,Software-Application,3040473597
CXW,CoreCivic,Equity Real Estate Investment Trusts ...,1343583483
CYAD,Celyad Oncology,Biotechnology,54828862
CYAN,Cyanotech,Personal Products,20874352
CYBE,CyberOptics,Semiconductors & Semiconductor Equipment,300400754
CYBN,Cybin,Biotechnology,133351543
CYBR,CyberArk Software,Software,6764411250
CYCC,Cyclacel Pharmaceuticals,Biotechnology,30424173
CYCN,Cyclerion Therapeutics,Biotechnology,48185323
CYD,China Yuchai International,Machinery,475999160
CYH,Community Health Systems,Health Care Providers & Services,1568216955
CYN,Cyngn,Software-Application,39557824
CYRN,Cyren,Software,26934478
CYRX,CryoPort,Health Care Equipment & Supplies,1734887290
CYT,Cyteir Therapeutics,Biotechnology,133491926
CYTH,Cyclo Therapeutics,Drug Manufacturers-Specialty & Generic,26644547
CYTK,Cytokinetics,Biotechnology,3123549433
CYTO,Altamira Therapeutics,Biotechnology,16642558
CYXT,Cyxtera Technologies,Information Technology Services,2182076666
CZNC,Citizens & Northern,Banks,385818351
CZOO,Cazoo Group,Software-Application,2096087550
CZR,Caesars Entertainment,"Hotels, Restaurants & Leisure",16564555744
CZWI,Citizens Community Bancorp,Banks,159206499
D,Dominion Energy,Multi-Utilities,68882972668
DAC,Danaos,Marine,2125108828
DADA,Dada Nexus,Internet & Direct Marketing Retail,2117648765
DAIO,Data I/O,"Electronic Equipment, Instruments & C...",36645068
DAKT,Daktronics,"Electronic Equipment, Instruments & C...",174590976
DAL,Delta Air Lines,Airlines,25322029031
DALN,DallasNews,Media,37467430
DALS,DA32 Life Science Tech Acquisition,Blank Check / SPAC,249189759
DAN,Dana Incorporated,Auto Components,2544434426
DAO,Youdao,Diversified Consumer Services,894379900
DAOO,Crypto 1 Acquisition,Blank Check / SPAC,284337500
DAR,Darling Ingredients,Food Products,13005162480
DARE,Dare Bioscience,Health Care Equipment & Supplies,114136384
DASH,DoorDash,Internet & Direct Marketing Retail,40830287785
DATS,DatChat,Software-Application,51345182
DAVA,Endava,IT Services,7448894856
DAVE,Dave Inc.,Software-Application,2659807228
DAWN,Day One Biopharmaceuticals,Biotechnology,615040000
DB,Deutsche Bank AG,Capital Markets,26594095101
DBD,Diebold Nixdorf,"Technology Hardware, Storage & Periph...",531181402
DBGI,Digital Brands Group,Apparel Retail,24318100
DBI,Designer Brands,Specialty Retail,991423230
DBRG,DigitalBridge Group,REIT-Diversified,4285080057
DBTX,Decibel Therapeutics,Biotechnology,75867152
DBVT,DBV Technologies,Biotechnology,180022975
DBX,Dropbox,Software,8873479145
DCBO,Docebo,Software-Application,1703100522
DCFC,Tritium DCFC,Electrical Equipment & Parts,1359225209
DCGO,DocGo,Medical Care Facilities,926609463
DCI,Donaldson Company,Machinery,6416367095
DCO,Ducommun,Aerospace & Defense,627234036
DCOM,Dime Community Bancshares,Thrifts & Mortgage Finance,1370617462
DCP,DCP Midstream LP,"Oil, Gas & Consumable Fuels",6993199609
DCPH,Deciphera Pharmaceuticals,Biotechnology,542780794
DCRD,Decarbonization Plus Acquisition IV,Blank Check / SPAC,392941112
DCT,Duck Creek Technologies,Software,2921985772
DCTH,Delcath Systems,Medical Devices,47080256
DD,DuPont de Nemours,Chemicals,39257948104
DDD,3D Systems,"Technology Hardware, Storage & Periph...",2140210800
DDI,DoubleDown Interactive Co.,n/a,587584383
DDL,Dingdong (Cayman),Grocery Stores,837981053
DDOG,Datadog,Software,47547948911
DDS,Dillard's,Multiline Retail,4928204287
DE,Deere & Company,Machinery,1.27456E+11
DEA,Easterly Government Properties,Equity Real Estate Investment Trusts ...,3726833660
DECK,Deckers Outdoor,"Textiles, Apparel & Luxury Goods",7457850153
DEI,Douglas Emmett,Equity Real Estate Investment Trusts ...,6911956984
DELL,Dell Technologies,"Technology Hardware, Storage & Periph...",41304813557
DEN,Denbury,"Oil, Gas & Consumable Fuels",3944190428
DENN,Denny's,"Hotels, Restaurants & Leisure",883105917
DEO,Diageo,Beverages,1.17366E+11
DERM,Journey Medical,Drug Manufacturers-Specialty & Generic,83637724
DESP,Despegar.com,Internet & Direct Marketing Retail,855211386
DFFN,Diffusion Pharmaceuticals,Biotechnology,25481250
DFH,Dream Finders Homes,Residential Construction,1584321909
DFIN,Donnelley Financial Solutions,Capital Markets,1087322616
DFS,Discover Financial Services,Consumer Finance,31076665320
DG,Dollar General,Multiline Retail,52060692391
DGICA,Donegal Group,Insurance,421147741
DGICB,Donegal Group,Insurance,411856096
DGII,Digi International,Communications Equipment,753073010
DGLY,Digital Ally,"Electronic Equipment, Instruments & C...",60608358
DGNU,Dragoneer Growth Opportunities III,Blank Check / SPAC,527578109
DGX,Quest Diagnostics,Health Care Providers & Services,16348611573
DH,Definitive Healthcare,Health Information Services,2400577003
DHAC,Digital Health Acquisition,Blank Check / SPAC,149320000
DHBC,DHB Capital,Blank Check / SPAC,350750009
DHC,Diversified Healthcare Trust,Equity Real Estate Investment Trusts ...,764768000
DHCA,DHC Acquisition,Blank Check / SPAC,379076730
DHHC,DiamondHead Holdings,Blank Check / SPAC,422193759
DHI,D.R. Horton,Household Durables,26403217336
DHIL,Diamond Hill Investment Group,Capital Markets,603319522
DHR,Danaher,Health Care Equipment & Supplies,2.09834E+11
DHT,DHT Holdings,"Oil, Gas & Consumable Fuels",966506298
DHX,DHI Group,Interactive Media & Services,294076959
DIBS,1stdibs.com,Internet Retail,303979550
DICE,DICE Therapeutics,Biotechnology,731366643
DIDI,DiDi Global,Software-Application,12058100735
DILA,DILA Capital Acquisition,Blank Check / SPAC,74203109
DIN,Dine Brands Global,"Hotels, Restaurants & Leisure",1330419264
DINO,HF Sinclair,"Oil, Gas & Consumable Fuels",6484471700
DIOD,Diodes,Semiconductors & Semiconductor Equipment,3916437422
DIS,The Walt Disney Company,Entertainment,2.49718E+11
DISA,Disruptive Acquisition I,Blank Check / SPAC,336187480
DISCA,Discovery,Media,12691656693
DISCB,Discovery,Media,12849428476
DISCK,Discovery,Media,12702288890
DISH,DISH Network,Media,16743071739
DIT,AMCON Distributing Company,Distributors,90507131
DJCO,Daily Journal,Media,430779880
DK,Delek US Holdings,"Oil, Gas & Consumable Fuels",1574453995
DKDCA,Data Knights Acquisition,Blank Check / SPAC,152221052
DKL,Delek Logistics Partners LP,"Oil, Gas & Consumable Fuels",1912284891
DKNG,DraftKings,"Hotels, Restaurants & Leisure",7956940781
DKS,Dick's Sporting Goods,Specialty Retail,7986566093
DLA,Delta Apparel,"Textiles, Apparel & Luxury Goods",207006837
DLB,Dolby Laboratories,"Electronic Equipment, Instruments & C...",7964203960
DLCA,Deep Lake Capital Acquisition,Blank Check / SPAC,253833759
DLHC,DLH Holdings,Professional Services,241824026
DLNG,Dynagas LNG Partners,"Oil, Gas & Consumable Fuels",147576830
DLO,DLocal,Software-Infrastructure,9222575092
DLPN,Dolphin Entertainment,Entertainment,42098779
DLR,Digital Realty Trust,Equity Real Estate Investment Trusts ...,41178861516
DLTH,Duluth Holdings,Internet & Direct Marketing Retail,404232062
DLTR,Dollar Tree,Multiline Retail,36051365859
DLX,Deluxe,Commercial Services & Supplies,1295950320
DM,Desktop Metal,Computer Hardware,1481212027
DMAC,DiaMedica Therapeutics,Biotechnology,66107750
DMAQ,Deep Medicine Acquisition,Blank Check / SPAC,163017344
DMLP,Dorchester Minerals,"Oil, Gas & Consumable Fuels",959755560
DMRC,Digimarc,Software,466395642
DMS,Digital Media Solutions,Advertising Agencies,132475255
DMTK,DermTech,Biotechnology,438208276
DMYS,"dMY Technology Group, Inc. VI",Blank Check / SPAC,297950615
DNA,Ginkgo Bioworks Holdings,Biotechnology,7091188221
DNAA,Social Capital Suvretta Holdings I,Blank Check / SPAC,315392090
DNAB,Social Capital Suvretta Holdings II,Blank Check / SPAC,310927480
DNAC,Social Capital Suvretta Holdings III,Blank Check / SPAC,315710970
DNAD,Social Capital Suvretta Holdings IV,Blank Check / SPAC,310608600
DNAY,Codex DNA,Medical Devices,157483294
DNB,Dun & Bradstreet Holdings,Professional Services,7554028530
DNLI,Denali Therapeutics,Biotechnology,3951537384
DNMR,Danimer Scientific,Specialty Chemicals,590395005
DNN,Denison Mines,"Oil, Gas & Consumable Fuels",1309036800
DNOW,NOW Inc.,Trading Companies & Distributors,1219465725
DNUT,Krispy Kreme,Grocery Stores,2483677439
DNZ,D & Z Media Acquisition,Blank Check / SPAC,351828124
DOC,Physicians Realty Trust,Equity Real Estate Investment Trusts ...,4157997565
DOCN,DigitalOcean Holdings,Software-Infrastructure,6225412050
DOCS,Doximity,Health Information Services,9965494222
DOCU,DocuSign,Software,21302847387
DOGZ,Dogness (International),"Textiles, Apparel & Luxury Goods",214183791
DOLE,Dole plc,Farm Products,1176483455
DOMA,Doma Holdings,Shell Companies,702867389
DOMO,"Domo, Inc.",Software,1668496466
DOOO,BRP Inc.,Leisure Products,6614480312
DOOR,Masonite International,Building Products,2006886630
DORM,Dorman Products,Auto Components,2997778368
DOUG,Douglas Elliman,Real Estate Services,592834489
DOV,Dover,Machinery,22610231243
DOW,Dow Inc.,Chemicals,47236591608
DOX,Amdocs,IT Services,10140932093
DOYU,DouYu International Holdings,Entertainment,693779840
DPCS,DP Cap Acquisition I,Blank Check / SPAC,286062470
DPRO,Draganfly,Aerospace & Defense,76533662
DPZ,Domino's Pizza,"Hotels, Restaurants & Leisure",14665913025
DQ,Daqo New Energy,Semiconductors & Semiconductor Equipment,3078624984
DRAY,Macondray Capital Acquisition I,Blank Check / SPAC,355421884
DRCT,Direct Digital Holdings,Advertising Agencies,12208000
DRD,DRDGOLD,Metals & Mining,807648124
DRE,Duke Realty,Equity Real Estate Investment Trusts ...,22441527295
DRH,DiamondRock Hospitality Company,Equity Real Estate Investment Trusts ...,2153764602
DRI,Darden Restaurants,"Hotels, Restaurants & Leisure",16980904869
DRIO,DarioHealth,Health Care Equipment & Supplies,127399600
DRMA,Dermata Therapeutics,Biotechnology,10410787
DRQ,Dril-Quip,Energy Equipment & Services,1299499762
DRRX,DURECT,Pharmaceuticals,152532207
DRTS,Alpha Tau Medical,Biotechnology,785045751
DRTT,DIRTT Environmental Solutions,Building Products,117920704
DRUG,Bright Minds Biosciences,Biotechnology,17954725
DRVN,Driven Brands Holdings,Auto & Truck Dealerships,4402084327
DS,Drive Shack,"Hotels, Restaurants & Leisure",141823839
DSAC,Duddell Street Acquisition,Blank Check / SPAC,217109375
DSAQ,Direct Selling Acquisition,Blank Check / SPAC,287500000
DSEY,Diversey Holdings,Personal Services,2454126074
DSGN,Design Therapeutics,Biotechnology,899558197
DSGX,The Descartes Systems Group,Software,6209239505
DSKE,Daseke,Road & Rail,638274815
DSP,Viant Technology,Software-Application,398395903
DSS,"DSS, Inc.",Commercial Services & Supplies,47978895
DSWL,Deswell Industries,"Electronic Equipment, Instruments & C...",58322832
DSX,Diana Shipping,Marine,457218010
DT,Dynatrace,Software,13458588652
DTC,Solo Brands,Internet Retail,540781502
DTE,DTE Energy Company,Multi-Utilities,25614630877
DTEA,DAVIDsTEA,Specialty Retail,74071600
DTIL,Precision BioSciences,Biotechnology,187997951
DTM,DT Midstream,Oil & Gas Midstream,5248786405
DTOC,Digital Transformation Opportunities,Blank Check / SPAC,406870009
DTRT,DTRT Health Acquisition,Blank Check / SPAC,288362489
DTSS,Datasea,Software,67883480
DTST,Data Storage,Information Technology Services,21617546
DUET,DUET Acquisition,Blank Check / SPAC,132662482
DUK,Duke Energy,Electric Utilities,85966929821
DUNE,Dune Acquisition,Blank Check / SPAC,214331240
DUO,Fangdd Network Group,Interactive Media & Services,29391605
DUOL,Duolingo,Software-Application,3673652187
DUOT,Duos Technologies Group,Software,33491370
DV,DoubleVerify Holdings,Software-Application,4093950965
DVA,DaVita,Health Care Providers & Services,10841808861
DVAX,Dynavax Technologies,Biotechnology,1354154490
DVN,Devon Energy,"Oil, Gas & Consumable Fuels",39274147833
DWAC,Digital World Acquisition,Blank Check / SPAC,2400720361
DWIN,Delwinds Insurance Acquisition,Blank Check / SPAC,256082784
DWSN,Dawson Geophysical Company,Energy Equipment & Services,55090282
DX,Dynex Capital,Mortgage Real Estate Investment Trust...,593985976
DXC,DXC Technology Company,IT Services,7993012724
DXCM,DexCom,Health Care Equipment & Supplies,49824468711
DXF,Dunxin Financial Holdings,Diversified Financial Services,13882579
DXLG,Destination XL Group,Specialty Retail,313789856
DXPE,DXP Enterprises,Trading Companies & Distributors,507953754
DXR,Daxor,Health Care Equipment & Supplies,43015339
DXYN,The Dixie Group,Household Durables,48972560
DY,Dycom Industries,Construction & Engineering,2820982010
DYAI,Dyadic International,Biotechnology,85075238
DYN,Dyne Therapeutics,Independent Power and Renewable Elect...,497781663
DYNS,Dynamics Special Purpose,Blank Check / SPAC,290824475
DYNT,Dynatronics,Health Care Equipment & Supplies,13056006
DZSI,"DZS, Inc.",Communications Equipment,382173980
E,Eni SpA,"Oil, Gas & Consumable Fuels",52537679853
EA,Electronic Arts,Entertainment,35577397244
EAC,Edify Acquisition,Blank Check / SPAC,338445019
EAF,GrafTech International,Electrical Equipment,2532522748
EAR,Eargo,Medical Devices,207700735
EARN,Ellington Residential Mortgage REIT,Mortgage Real Estate Investment Trust...,132278891
EAST,Eastside Distilling,Beverages,15144157
EAT,Brinker International,"Hotels, Restaurants & Leisure",1701905395
EB,Eventbrite,Interactive Media & Services,1440913906
EBAC,European Biotech Acquisition,Blank Check / SPAC,159722364
EBAY,eBay Inc.,Internet & Direct Marketing Retail,33641910253
EBC,Eastern Bankshares,Banks,3972772850
EBET,Esports Technologies,Gambling,95702608
EBF,Ennis,Commercial Services & Supplies,480565370
EBIX,"Ebix, Inc.",Software,1024494120
EBMT,Eagle Bancorp Montana,Banks,149495084
EBON,Ebang International Holdings,Computer Hardware,215568606
EBR,Centrais Eletricas Brasileiras,Electric Utilities,12410236924
EBS,Emergent BioSolutions,Biotechnology,2073587566
EBTC,Enterprise Bancorp,Banks,483594403
EC,Ecopetrol,"Oil, Gas & Consumable Fuels",38598348799
ECC,Eagle Point Credit Company,Securities and Commodity Exchanges,502478581
ECL,Ecolab,Chemicals,50548420524
ECOL,US Ecology,Commercial Services & Supplies,1500439547
ECOM,ChannelAdvisor,Software,504582995
ECOR,electroCore,Health Care Equipment & Supplies,41370143
ECPG,Encore Capital Group,Consumer Finance,1538842050
ECVT,Ecovyst,Specialty Chemicals,1597661429
ED,Consolidated Edison,Multi-Utilities,33525239779
EDAP,EDAP TMS,Health Care Equipment & Supplies,241759225
EDIT,Editas Medicine,Biotechnology,1303231341
EDN,Empresa Distribuidora y Comercializadora Norte,Electric Utilities,305490493
EDNC,Endurance Acquisition,Blank Check / SPAC,253380000
EDR,Endeavor Group Holdings,Entertainment,7929249769
EDRY,EuroDry,Marine,98960541
EDSA,Edesa Biotech,Biotechnology,49071525
EDTK,Skillful Craftsman Education Technology,Education & Training Services,18625000
EDTX,EdtechX Holdings Acquisition II,Blank Check / SPAC,145187500
EDU,New Oriental Education & Technology Group,Diversified Consumer Services,1951515391
